Client Name,Client Identifier,Scheme Category/Section Name,Scheme Category/Section Name Identifier,Unique Member Reference,Unique ID,Status of Member,Status of Registration,Year of Birth,Gender,Short Post Code of Member,Contract Start Date,Contract End Date,Original Date of Joining,Scheme Policy Joining Date,Registration Status,Lapse Date
Client_098 Ltd,CL-098,Family,SC-132,MBR-00017,UID-00000017,Active,Registered,1980,M,CF19 4EQ,2023-05-03,2025-10-30,2011-08-06,2018-12-23,Registered,
Client_054 Ltd,CL-054,SME,SC-112,MBR-00018,UID-00000018,Active,Registered,1978,F,EH3 2EU,2020-04-17,2021-05-12,2013-02-12,2016-12-05,Registered,
Client_060 Ltd,CL-060,Family,SC-338,MBR-00019,UID-00000019,Active,Registered,1976,M,N14 7MT,2020-05-31,2022-11-11,2019-03-20,2019-04-03,Registered,
Client_170 Ltd,CL-170,Corporate,SC-592,MBR-00020,UID-00000020,Active,Registered,1987,M,BT17U 1VX,2020-10-05,2024-04-23,2012-12-17,2016-08-25,Registered,
Client_189 Ltd,CL-189,SME,SC-890,MBR-00021,UID-00000021,Active,Registered,1996,F,W18 6DJ,2016-07-22,2022-06-15,2010-05-22,2014-01-23,Registered,
Client_032 Ltd,CL-032,Corporate,SC-646,MBR-00022,UID-00000022,Active,Registered,1994,M,CF6 5QY,2015-03-10,2018-10-04,2001-12-31,2007-11-08,Registered,
Client_053 Ltd,CL-053,Individual,SC-206,MBR-00023,UID-00000023,Active,Registered,1970,M,N17 5UQ,2023-12-14,2025-10-30,2009-11-21,2018-01-19,Registered,
Client_172 Ltd,CL-172,Individual,SC-602,MBR-00024,UID-00000024,Active,Registered,1995,M,EC5 3RY,2018-03-21,2025-10-30,2009-05-23,2013-01-08,Registered,
Client_139 Ltd,CL-139,Family,SC-208,MBR-00025,UID-00000025,Active,Registered,1979,M,SW20 1DL,2016-12-20,2025-03-10,2012-03-02,2015-09-15,Registered,
Client_118 Ltd,CL-118,Family,SC-905,MBR-00026,UID-00000026,Active,Registered,1989,F,B8V 2CX,2015-07-07,2021-08-14,2002-12-20,2007-01-31,Registered,
Client_047 Ltd,CL-047,Corporate,SC-455,MBR-00027,UID-00000027,Active,Registered,1973,M,EH3 9YE,2019-08-14,2025-10-30,2005-08-16,2014-04-21,Registered,
Client_090 Ltd,CL-090,Family,SC-150,MBR-00028,UID-00000028,Active,Registered,1984,M,E16 3IQ,2023-07-16,2025-10-30,2021-04-25,2022-04-27,Registered,
Client_060 Ltd,CL-060,Corporate,SC-488,MBR-00029,UID-00000029,Active,Registered,1986,F,CF7 4WJ,2023-03-01,2025-10-30,2009-11-21,2013-07-08,Registered,
Client_036 Ltd,CL-036,Family,SC-655,MBR-00030,UID-00000030,Active,Registered,1968,M,BS12 9OD,2024-10-11,2025-10-30,2016-11-01,2024-08-22,Registered,
Client_188 Ltd,CL-188,Family,SC-435,MBR-00031,UID-00000031,Active,Registered,1989,F,WC8A 9HS,2019-10-10,2021-09-08,2005-05-13,2015-03-28,Registered,
Client_161 Ltd,CL-161,Family,SC-251,MBR-00032,UID-00000032,Active,Registered,1996,M,WC1X 1HC,2021-04-09,2025-10-30,2017-04-05,2018-01-08,Registered,
Client_042 Ltd,CL-042,SME,SC-400,MBR-00033,UID-00000033,Active,Registered,1981,M,NW11J 5VP,2015-06-29,2020-10-28,2010-08-29,2013-08-24,Registered,
Client_013 Ltd,CL-013,Corporate,SC-490,MBR-00034,UID-00000034,Active,Registered,1996,F,EC18V 8HZ,2023-10-18,2025-10-30,2016-05-08,2016-09-17,Registered,
Client_142 Ltd,CL-142,Family,SC-113,MBR-00035,UID-00000035,Active,Registered,1981,F,EH14E 7LN,2024-10-10,2025-10-30,2022-12-22,2024-05-20,Registered,
Client_186 Ltd,CL-186,Individual,SC-618,MBR-00036,UID-00000036,Active,Registered,1991,F,CF15 1VU,2019-11-08,2024-08-04,2014-07-15,2015-09-01,Registered,
Client_115 Ltd,CL-115,Corporate,SC-622,MBR-00037,UID-00000037,Active,Registered,1960,M,W2 6ZD,2015-01-08,2022-05-26,2002-05-03,2011-01-12,Registered,
Client_101 Ltd,CL-101,Individual,SC-675,MBR-00038,UID-00000038,Active,Registered,2005,M,WC7R 3NF,2020-11-19,2025-10-30,2008-10-10,2020-08-08,Registered,
Client_122 Ltd,CL-122,Corporate,SC-915,MBR-00039,UID-00000039,Active,Registered,1997,F,M15D 8ZR,2015-06-09,2022-09-26,2005-01-14,2008-06-30,Registered,
Client_168 Ltd,CL-168,Family,SC-699,MBR-00040,UID-00000040,Active,Registered,1980,M,W2 9AC,2021-11-22,2025-10-30,2012-01-05,2014-07-01,Registered,
Client_065 Ltd,CL-065,SME,SC-478,MBR-00041,UID-00000041,Active,Registered,1963,M,WC6 8GM,2019-08-08,2023-02-14,2017-10-09,2018-02-03,Registered,
Client_133 Ltd,CL-133,SME,SC-941,MBR-00042,UID-00000042,Active,Registered,1985,M,NW6 7IZ,2015-01-05,2016-06-23,2008-12-16,2010-02-04,Registered,
Client_158 Ltd,CL-158,Corporate,SC-689,MBR-00043,UID-00000043,Active,Registered,1968,M,BT10 9VW,2022-11-27,2024-06-16,2013-10-29,2014-12-19,Registered,
Client_117 Ltd,CL-117,Corporate,SC-265,MBR-00044,UID-00000044,Active,Registered,1987,F,EH5H 1SX,2024-06-12,2025-10-30,2010-05-31,2021-04-24,Registered,
Client_173 Ltd,CL-173,SME,SC-790,MBR-00045,UID-00000045,Active,Registered,1987,M,NW11V 8QQ,2016-01-16,2021-08-06,2010-03-22,2014-09-16,Registered,
Client_101 Ltd,CL-101,Individual,SC-151,MBR-00046,UID-00000046,Active,Registered,1973,F,N2 2FC,2017-08-03,2019-05-09,2008-07-26,2014-06-24,Registered,
Client_186 Ltd,CL-186,Family,SC-654,MBR-00047,UID-00000047,Active,Registered,1994,M,SE8 4ST,2022-04-07,2024-05-14,2013-10-30,2016-09-01,Registered,
Client_039 Ltd,CL-039,Corporate,SC-434,MBR-00048,UID-00000048,Active,Registered,1991,F,NW20Y 9KI,2020-06-25,2024-04-21,2015-10-16,2020-04-12,Registered,
Client_140 Ltd,CL-140,Individual,SC-219,MBR-00049,UID-00000049,Active,Registered,1992,F,EC11P 3VU,2017-06-26,2020-08-31,2007-03-31,2012-08-29,Registered,
Client_162 Ltd,CL-162,Corporate,SC-466,MBR-00050,UID-00000050,Active,Registered,1983,M,B15 2AO,2017-08-30,2022-07-05,2012-04-03,2016-06-04,Registered,
Client_109 Ltd,CL-109,SME,SC-186,MBR-00051,UID-00000051,Active,Registered,1968,F,W3 9IE,2020-02-03,2025-10-30,2018-10-04,2019-07-25,Registered,
Client_014 Ltd,CL-014,Family,SC-899,MBR-00052,UID-00000052,Active,Registered,1992,F,G3 6JF,2023-03-22,2025-10-30,2012-01-17,2021-01-29,Registered,
Client_166 Ltd,CL-166,Family,SC-291,MBR-00053,UID-00000053,Active,Registered,1980,F,BT18 9AV,2022-05-21,2025-10-30,2011-11-26,2022-03-10,Registered,
Client_144 Ltd,CL-144,Corporate,SC-243,MBR-00054,UID-00000054,Active,Registered,1969,F,B4 3ID,2015-10-31,2019-12-23,2006-10-02,2012-01-21,Registered,
Client_106 Ltd,CL-106,Family,SC-761,MBR-00055,UID-00000055,Active,Registered,1996,F,W18M 4WK,2018-03-25,2024-06-08,2016-10-09,2017-11-15,Registered,
Client_189 Ltd,CL-189,Individual,SC-980,MBR-00056,UID-00000056,Active,Registered,2003,F,EC9 5BC,2022-09-21,2025-10-30,2020-04-11,2020-07-26,Registered,
Client_187 Ltd,CL-187,Family,SC-622,MBR-00057,UID-00000057,Active,Registered,1982,M,CF9N 3UI,2023-04-24,2025-10-30,2021-04-08,2021-12-02,Registered,
Client_075 Ltd,CL-075,Individual,SC-526,MBR-00058,UID-00000058,Active,Registered,2004,M,N15 7RA,2024-03-25,2025-10-30,2015-08-06,2018-05-28,Registered,
Client_079 Ltd,CL-079,Individual,SC-492,MBR-00059,UID-00000059,Lapsed,Cancelled,1983,M,W3 3RB,2015-09-29,2018-01-29,2003-11-09,2014-05-06,Cancelled,2018-01-29
Client_112 Ltd,CL-112,Corporate,SC-146,MBR-00060,UID-00000060,Active,Registered,1979,M,G19 7EB,2015-05-03,2023-02-14,2004-11-14,2013-01-29,Registered,
Client_067 Ltd,CL-067,Family,SC-122,MBR-00061,UID-00000061,Active,Registered,1976,M,B12 1LG,2016-05-25,2023-07-08,2014-09-24,2015-08-16,Registered,
Client_139 Ltd,CL-139,Family,SC-686,MBR-00062,UID-00000062,Active,Registered,1999,M,WC4 9NT,2021-05-15,2025-08-04,2015-01-14,2016-03-26,Registered,
Client_011 Ltd,CL-011,Corporate,SC-697,MBR-00063,UID-00000063,Active,Registered,1975,F,E8 3NA,2022-12-18,2024-04-19,2010-07-24,2018-06-11,Registered,
Client_016 Ltd,CL-016,Corporate,SC-738,MBR-00064,UID-00000064,Active,Registered,1990,M,N11 7ZV,2024-05-31,2025-10-30,2019-09-18,2023-07-18,Registered,
Client_166 Ltd,CL-166,Corporate,SC-835,MBR-00065,UID-00000065,Active,Registered,1977,M,WC9Z 2MB,2019-04-06,2021-12-02,2013-07-12,2013-07-17,Registered,
Client_158 Ltd,CL-158,Family,SC-567,MBR-00066,UID-00000066,Active,Registered,1978,F,EH8R 6JZ,2023-01-24,2024-05-24,2008-08-05,2018-12-16,Registered,
Client_169 Ltd,CL-169,Corporate,SC-806,MBR-00067,UID-00000067,Active,Registered,1993,M,WC8H 7KI,2022-10-09,2025-10-30,2010-02-05,2011-11-06,Registered,
Client_001 Ltd,CL-001,SME,SC-396,MBR-00068,UID-00000068,Active,Registered,1979,F,SE9 9MV,2016-12-20,2020-12-18,2012-11-29,2013-10-02,Registered,
Client_124 Ltd,CL-124,Family,SC-691,MBR-00069,UID-00000069,Active,Registered,1978,M,L1L 3SI,2017-06-25,2020-12-15,2011-01-20,2017-02-16,Registered,
Client_038 Ltd,CL-038,Family,SC-387,MBR-00070,UID-00000070,Active,Registered,1994,F,NW4 6XZ,2019-07-12,2025-10-30,2011-02-28,2015-02-10,Registered,
Client_114 Ltd,CL-114,Individual,SC-212,MBR-00071,UID-00000071,Active,Registered,1998,F,L14 9DM,2020-12-10,2025-10-30,2018-09-09,2019-07-25,Registered,
Client_098 Ltd,CL-098,Individual,SC-205,MBR-00072,UID-00000072,Active,Registered,1989,M,EC9Q 1QZ,2019-10-03,2022-08-05,2017-05-03,2018-01-04,Registered,
Client_060 Ltd,CL-060,Family,SC-897,MBR-00073,UID-00000073,Active,Registered,1976,M,EC12 6TK,2024-06-19,2025-10-30,2019-01-15,2021-08-15,Registered,
Client_019 Ltd,CL-019,Corporate,SC-552,MBR-00074,UID-00000074,Active,Registered,1977,F,W10 7KM,2020-02-17,2023-07-24,2007-07-19,2018-02-17,Registered,
Client_124 Ltd,CL-124,Individual,SC-212,MBR-00075,UID-00000075,Active,Registered,1983,F,B18Q 7VX,2016-02-01,2021-10-12,2009-12-04,2013-04-03,Registered,
Client_187 Ltd,CL-187,Corporate,SC-482,MBR-00076,UID-00000076,Active,Registered,1986,F,N20 7RA,2021-06-06,2025-10-30,2013-03-17,2018-06-19,Registered,
Client_100 Ltd,CL-100,Individual,SC-696,MBR-00077,UID-00000077,Active,Registered,1973,F,B10V 6OO,2020-02-07,2024-01-19,2015-02-03,2016-04-09,Registered,
Client_068 Ltd,CL-068,Corporate,SC-163,MBR-00078,UID-00000078,Active,Registered,1990,M,BT7 3VC,2024-06-27,2025-10-30,2016-06-15,2016-11-26,Registered,
Client_138 Ltd,CL-138,Family,SC-340,MBR-00079,UID-00000079,Active,Registered,1983,M,B17 6CY,2016-08-25,2025-04-23,2012-07-19,2016-01-14,Registered,
Client_017 Ltd,CL-017,Individual,SC-515,MBR-00080,UID-00000080,Active,Registered,1965,M,WC10H 3AB,2022-03-25,2025-10-30,2019-02-22,2019-04-11,Registered,
Client_080 Ltd,CL-080,Corporate,SC-402,MBR-00081,UID-00000081,Active,Registered,1973,F,WC16 2ON,2015-08-04,2018-02-14,2014-01-23,2014-11-29,Registered,
Client_085 Ltd,CL-085,Corporate,SC-952,MBR-00082,UID-00000082,Active,Registered,1977,F,EC13 4EU,2015-01-01,2021-03-10,2003-11-26,2006-10-23,Registered,
Client_092 Ltd,CL-092,Family,SC-612,MBR-00083,UID-00000083,Active,Registered,1982,M,SW4 4FZ,2023-10-21,2025-10-30,2014-10-13,2020-11-01,Registered,
Client_200 Ltd,CL-200,Individual,SC-837,MBR-00084,UID-00000084,Active,Registered,2001,M,BT2 2OE,2018-06-27,2025-10-30,2014-11-23,2018-03-24,Registered,
Client_029 Ltd,CL-029,Individual,SC-600,MBR-00085,UID-00000085,Active,Registered,1985,M,BT17 6YO,2018-04-09,2025-10-30,2013-11-07,2017-11-19,Registered,
Client_134 Ltd,CL-134,Individual,SC-354,MBR-00086,UID-00000086,Active,Registered,1974,M,CF18 3XP,2023-04-29,2025-10-30,2011-05-01,2021-11-05,Registered,
Client_194 Ltd,CL-194,Corporate,SC-582,MBR-00087,UID-00000087,Active,Registered,1985,F,BT9 5YY,2020-12-21,2024-08-25,2013-06-26,2017-12-21,Registered,
Client_119 Ltd,CL-119,Corporate,SC-228,MBR-00088,UID-00000088,Active,Registered,1979,F,EH8D 5HI,2018-01-04,2019-05-29,2009-10-05,2010-07-05,Registered,
Client_122 Ltd,CL-122,Individual,SC-813,MBR-00089,UID-00000089,Active,Registered,1986,F,L11 2EE,2024-09-21,2025-10-30,2017-12-06,2020-04-19,Registered,
Client_111 Ltd,CL-111,Corporate,SC-452,MBR-00090,UID-00000090,Active,Registered,1988,M,WC13 4CN,2022-04-25,2025-10-30,2012-01-23,2020-10-21,Registered,
Client_191 Ltd,CL-191,Family,SC-728,MBR-00091,UID-00000091,Active,Registered,1995,M,CF11 7BG,2017-01-31,2021-01-23,2005-02-27,2012-02-21,Registered,
Client_159 Ltd,CL-159,Family,SC-789,MBR-00092,UID-00000092,Active,Registered,1982,F,CF13 1YS,2015-09-24,2021-09-23,2009-08-07,2012-11-09,Registered,
Client_153 Ltd,CL-153,SME,SC-920,MBR-00093,UID-00000093,Active,Registered,1999,F,BS16O 5YM,2021-11-18,2025-03-02,2012-07-24,2016-08-14,Registered,
Client_087 Ltd,CL-087,Corporate,SC-778,MBR-00094,UID-00000094,Active,Registered,1992,F,CF18 9ZT,2024-08-22,2025-10-30,2016-09-16,2024-01-01,Registered,
Client_149 Ltd,CL-149,Corporate,SC-895,MBR-00095,UID-00000095,Active,Registered,1975,F,WC16Q 8AM,2015-04-06,2017-02-26,2009-04-14,2013-06-30,Registered,
Client_016 Ltd,CL-016,Individual,SC-121,MBR-00096,UID-00000096,Active,Registered,2005,M,L13 8ET,2022-09-01,2025-10-30,2007-10-05,2020-11-09,Registered,
Client_132 Ltd,CL-132,Corporate,SC-872,MBR-00097,UID-00000097,Active,Registered,1986,F,SW13 1CU,2021-05-12,2025-10-30,2009-09-17,2020-11-05,Registered,
Client_107 Ltd,CL-107,Family,SC-208,MBR-00098,UID-00000098,Pending,Pending,1974,M,CF5 3BI,2022-10-07,2025-10-30,2014-12-12,2020-12-11,Pending,
Client_174 Ltd,CL-174,Individual,SC-249,MBR-00099,UID-00000099,Active,Registered,1999,M,BS11N 6YM,2022-10-22,2025-10-30,2013-08-05,2014-11-30,Registered,
Client_008 Ltd,CL-008,Corporate,SC-423,MBR-00100,UID-00000100,Active,Registered,2003,M,M14D 8AX,2019-04-23,2025-10-30,2008-03-02,2011-04-22,Registered,
Client_134 Ltd,CL-134,Corporate,SC-716,MBR-00101,UID-00000101,Active,Registered,1982,M,NW12D 1YA,2015-11-08,2025-07-08,2013-04-09,2013-08-02,Registered,
Client_125 Ltd,CL-125,Corporate,SC-689,MBR-00102,UID-00000102,Active,Registered,1977,F,WC7 3HE,2018-10-02,2021-06-18,2005-06-17,2011-12-26,Registered,
Client_128 Ltd,CL-128,Corporate,SC-536,MBR-00103,UID-00000103,Pending,Pending,1981,M,EH4 4OW,2020-07-23,2025-10-30,2014-01-02,2014-11-30,Pending,
Client_053 Ltd,CL-053,Family,SC-618,MBR-00104,UID-00000104,Active,Registered,1990,M,M12W 2YF,2015-09-24,2018-03-10,2007-01-20,2015-08-06,Registered,
Client_119 Ltd,CL-119,Corporate,SC-385,MBR-00105,UID-00000105,Active,Registered,1995,F,B4 5SV,2021-05-10,2022-07-05,2019-12-22,2020-09-30,Registered,
Client_192 Ltd,CL-192,Corporate,SC-633,MBR-00106,UID-00000106,Active,Registered,1988,M,BS13 4CS,2018-01-26,2025-10-30,2013-10-23,2017-04-04,Registered,
Client_091 Ltd,CL-091,Family,SC-806,MBR-00107,UID-00000107,Active,Registered,1984,M,WC4 5VT,2022-02-17,2025-01-10,2008-06-26,2008-08-28,Registered,
Client_179 Ltd,CL-179,SME,SC-308,MBR-00108,UID-00000108,Active,Registered,1997,F,W19 6RN,2022-06-06,2025-10-30,2011-07-03,2014-10-26,Registered,
Client_063 Ltd,CL-063,SME,SC-375,MBR-00109,UID-00000109,Active,Registered,1979,M,G3 6AN,2023-01-20,2025-10-30,2010-08-24,2019-08-02,Registered,
Client_134 Ltd,CL-134,Individual,SC-878,MBR-00110,UID-00000110,Active,Registered,1993,M,EH4 6UO,2018-08-31,2025-10-30,2008-05-10,2016-11-01,Registered,
Client_190 Ltd,CL-190,Family,SC-334,MBR-00111,UID-00000111,Active,Registered,1980,M,E14T 5TZ,2023-10-11,2025-02-04,2012-12-15,2016-03-22,Registered,
Client_107 Ltd,CL-107,Corporate,SC-815,MBR-00112,UID-00000112,Active,Registered,1987,M,EH15 5KH,2016-07-08,2021-12-13,2013-09-02,2014-06-05,Registered,
Client_161 Ltd,CL-161,Individual,SC-238,MBR-00113,UID-00000113,Active,Registered,1981,F,SE9 4YO,2018-01-22,2025-10-30,2011-05-15,2016-05-11,Registered,
Client_002 Ltd,CL-002,Corporate,SC-677,MBR-00114,UID-00000114,Active,Registered,1982,F,BS11N 3PG,2023-11-26,2025-10-30,2019-09-20,2022-07-02,Registered,
Client_169 Ltd,CL-169,Individual,SC-801,MBR-00115,UID-00000115,Active,Registered,1979,F,G9 5RA,2020-03-09,2022-07-17,2006-02-11,2016-06-19,Registered,
Client_016 Ltd,CL-016,Corporate,SC-804,MBR-00116,UID-00000116,Active,Registered,1996,F,EC3Q 8RY,2021-04-22,2025-10-30,2017-09-24,2018-04-08,Registered,
Client_102 Ltd,CL-102,Family,SC-552,MBR-00117,UID-00000117,Active,Registered,1975,F,WC16 8OZ,2023-03-25,2025-10-30,2021-01-27,2021-02-19,Registered,
Client_119 Ltd,CL-119,Corporate,SC-653,MBR-00118,UID-00000118,Active,Registered,1975,M,SW3P 4JV,2022-09-02,2025-10-30,2008-11-19,2017-12-28,Registered,
Client_059 Ltd,CL-059,Corporate,SC-776,MBR-00119,UID-00000119,Active,Registered,2004,F,G16 6NX,2017-11-06,2020-08-07,2004-12-24,2006-07-23,Registered,
Client_009 Ltd,CL-009,Family,SC-536,MBR-00120,UID-00000120,Active,Registered,1992,F,L12 5JI,2019-07-11,2020-12-19,2014-11-15,2017-01-13,Registered,
Client_197 Ltd,CL-197,Family,SC-743,MBR-00121,UID-00000121,Active,Registered,1959,F,WC4 6DX,2016-07-11,2018-03-18,2002-02-07,2003-09-21,Registered,
Client_117 Ltd,CL-117,Corporate,SC-602,MBR-00122,UID-00000122,Lapsed,Cancelled,1977,F,N7S 5XS,2016-11-11,2019-08-16,2010-07-13,2016-02-27,Cancelled,2019-08-16
Client_010 Ltd,CL-010,SME,SC-176,MBR-00123,UID-00000123,Active,Registered,1964,M,B4 5HL,2018-03-10,2020-02-01,2008-03-07,2009-09-14,Registered,
Client_094 Ltd,CL-094,Corporate,SC-443,MBR-00124,UID-00000124,Active,Registered,1973,M,N10U 3IB,2021-09-03,2025-10-30,2011-03-09,2018-01-31,Registered,
Client_007 Ltd,CL-007,SME,SC-419,MBR-00125,UID-00000125,Active,Registered,1951,M,NW18F 8DA,2022-08-05,2024-08-07,2020-12-08,2021-12-08,Registered,
Client_093 Ltd,CL-093,Family,SC-772,MBR-00126,UID-00000126,Active,Registered,1981,M,B16 6FB,2017-01-06,2025-09-01,2005-05-26,2016-07-23,Registered,
Client_194 Ltd,CL-194,Family,SC-981,MBR-00127,UID-00000127,Active,Registered,1971,F,M16D 7PC,2023-01-26,2025-10-30,2013-02-01,2021-09-10,Registered,
Client_148 Ltd,CL-148,SME,SC-288,MBR-00128,UID-00000128,Active,Registered,1983,F,NW5V 5CH,2020-09-26,2022-04-08,2017-11-13,2020-05-06,Registered,
Client_123 Ltd,CL-123,Individual,SC-928,MBR-00129,UID-00000129,Active,Registered,1966,M,W18 4YQ,2022-04-12,2025-10-30,2010-03-02,2021-07-20,Registered,
Client_063 Ltd,CL-063,Corporate,SC-942,MBR-00130,UID-00000130,Active,Registered,1983,M,BS15 5SN,2022-10-13,2025-10-05,2013-02-10,2016-05-11,Registered,
Client_004 Ltd,CL-004,Corporate,SC-849,MBR-00131,UID-00000131,Active,Registered,1978,M,B19 2YG,2024-02-16,2025-10-30,2022-02-25,2023-08-28,Registered,
Client_028 Ltd,CL-028,Corporate,SC-941,MBR-00132,UID-00000132,Active,Registered,1998,M,EC9 3HF,2022-03-02,2023-07-17,2015-06-28,2019-10-31,Registered,
Client_072 Ltd,CL-072,Family,SC-680,MBR-00133,UID-00000133,Active,Registered,1997,M,SE6R 8JB,2021-04-19,2025-10-30,2019-07-01,2020-08-05,Registered,
Client_163 Ltd,CL-163,Individual,SC-806,MBR-00134,UID-00000134,Active,Registered,1990,M,WC10 8CV,2019-09-23,2024-05-03,2016-01-12,2017-11-07,Registered,
Client_130 Ltd,CL-130,Family,SC-880,MBR-00135,UID-00000135,Lapsed,Cancelled,1979,F,WC9 4ND,2016-05-27,2025-08-23,2008-10-30,2010-12-31,Cancelled,2025-08-23
Client_169 Ltd,CL-169,Corporate,SC-447,MBR-00136,UID-00000136,Active,Registered,2002,M,WC5 3CB,2022-08-26,2025-10-30,2010-03-26,2019-03-20,Registered,
Client_156 Ltd,CL-156,Family,SC-789,MBR-00137,UID-00000137,Active,Registered,1967,M,N10 5OD,2017-03-06,2025-10-30,2005-12-02,2012-10-17,Registered,
Client_075 Ltd,CL-075,Family,SC-735,MBR-00138,UID-00000138,Active,Registered,1968,F,BT10 5QR,2022-10-15,2024-03-18,2008-01-14,2014-04-24,Registered,
Client_073 Ltd,CL-073,Family,SC-709,MBR-00139,UID-00000139,Active,Registered,1982,M,EH15B 7XK,2017-05-13,2025-10-30,2012-12-06,2014-02-07,Registered,
Client_102 Ltd,CL-102,Family,SC-877,MBR-00140,UID-00000140,Active,Registered,2005,F,M1Y 1YV,2015-06-05,2019-04-28,2003-04-16,2008-11-01,Registered,
Client_129 Ltd,CL-129,Family,SC-431,MBR-00141,UID-00000141,Active,Registered,1980,F,M19G 8QU,2019-06-15,2021-11-14,2012-09-25,2012-11-11,Registered,
Client_155 Ltd,CL-155,Family,SC-922,MBR-00142,UID-00000142,Active,Registered,1981,M,BT9V 7UP,2020-06-16,2021-12-14,2018-04-29,2018-05-12,Registered,
Client_067 Ltd,CL-067,SME,SC-596,MBR-00143,UID-00000143,Active,Registered,1968,M,SE16 6KV,2023-12-26,2025-10-30,2016-09-28,2023-06-02,Registered,
Client_167 Ltd,CL-167,Corporate,SC-183,MBR-00144,UID-00000144,Active,Registered,1992,M,W6 8JV,2015-11-20,2017-05-07,2004-12-23,2015-06-24,Registered,
Client_168 Ltd,CL-168,Individual,SC-906,MBR-00145,UID-00000145,Active,Registered,1992,M,BS18D 6IK,2019-11-24,2025-10-30,2007-06-25,2014-12-10,Registered,
Client_028 Ltd,CL-028,Corporate,SC-695,MBR-00146,UID-00000146,Active,Registered,1990,M,W13 1VR,2019-11-14,2024-06-22,2017-02-17,2017-06-09,Registered,
Client_092 Ltd,CL-092,Corporate,SC-409,MBR-00147,UID-00000147,Active,Registered,1976,F,BT14T 6TY,2017-11-30,2023-09-11,2014-06-21,2017-06-12,Registered,
Client_152 Ltd,CL-152,SME,SC-549,MBR-00148,UID-00000148,Active,Registered,1975,M,EH15 4IR,2015-12-28,2025-07-21,2005-10-01,2009-05-01,Registered,
Client_082 Ltd,CL-082,Family,SC-787,MBR-00149,UID-00000149,Active,Registered,1970,M,E10 8DA,2021-08-16,2025-10-30,2017-02-20,2020-03-06,Registered,
Client_051 Ltd,CL-051,SME,SC-990,MBR-00150,UID-00000150,Active,Registered,1983,M,WC6 1RN,2023-03-18,2025-10-30,2015-07-02,2016-11-07,Registered,
